stage,case_id,label,parameter,value,lower_bound,upper_bound,transform,is_free_parameter,status,near_bound
smoke,1,candidate_exact_repeat_1,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
smoke,1,candidate_exact_repeat_1,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
smoke,1,candidate_exact_repeat_1,psi_child_2007,0.28947879008266236,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
smoke,1,candidate_exact_repeat_1,psi_child_2023,-0.039235116812901205,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
smoke,1,candidate_exact_repeat_1,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
smoke,1,candidate_exact_repeat_1,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
smoke,2,candidate_exact_repeat_2,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,theta1,0.10724930821495539,0.02,16.0,log,True,estimated_free_transition_parameter,True
smoke,2,candidate_exact_repeat_2,hbar_child_rooms,0.24887678975085575,0.1,1.8,log,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,first_birth_fixed_cost,4.5591384147193255,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,hbar_first_child_jump,0.4649311350610432,0.0,0.5,softzero,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,psi_child_change_2023,-0.32871390689556357,-1.5,0.2,asinh,True,estimated_free_transition_parameter,False
smoke,2,candidate_exact_repeat_2,psi_child_2007,0.28947879008266236,nan,nan,derived,False,externally_normalized_to_old_completed_fertility,False
smoke,2,candidate_exact_repeat_2,psi_child_2023,-0.039235116812901205,nan,nan,derived,False,derived_from_old_intercept_and_transition_coordinate,False
smoke,2,candidate_exact_repeat_2,tenure_choice_kappa,0.005,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
smoke,2,candidate_exact_repeat_2,housing_supply_elasticity,0.63,nan,nan,external_profile,False,externally_fixed_profile_not_estimated,False
round1,1,anchor,beta_annual,0.9957387588331625,0.94,0.9995,discount,True,estimated_free_transition_parameter,False
round1,1,anchor,kappa_fert,2.1681730392479377,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,1,anchor,kappa_fert_continuation,1.7364706586958831,0.02,50.0,log,True,estimated_free_transition_parameter,False
round1,1,anchor,chi,1.0434717373613915,0.1,5.0,log,True,estimated_free_transition_parameter,False
round1,1,anchor,H0,14.562959141565095,0.2,80.0,log,True,estimated_free_transition_parameter,False
round1,1,anchor,theta0,0.5491891806761955,0.0,8.0,softzero,True,estimated_free_transition_parameter,False
