parameter,central_column_norm,relative_one_sided_discrepancy,one_sided_cosine
beta_annual,57.444437854655504,1.9122561488797063,0.10831216374782786
kappa_fert,244.29891319966765,0.019200238734854127,0.9999414980612278
kappa_fert_continuation,171.799384570625,0.0075894996279022775,0.9999854464356716
chi,724.8824372151649,0.3078224731947993,0.9645726434383323
H0,75.61416033798244,5.338686880662124,-0.8393181874057024
theta0,55.31785261816663,1.5984180514086828,0.3520827303561685
theta1,2.333368368672498,0.14693541493526616,0.9920488809638605
hbar_child_rooms,28.816377287056014,0.03386092589466922,0.9995297949105016
first_birth_fixed_cost,40.391297712360796,0.026512320796836353,0.9996486226969415
hbar_first_child_jump,11.025931836926912,0.037259118709341024,0.9993102418233492
psi_child_change_2023,39.45516730752321,0.023337942780645795,0.9997285091515123
