case_id,p50,p90,p90_p50,p50_cdf_strictly_below,p50_cdf_at_or_below,p50_previous_distinct_value,p50_next_distinct_value,p90_cdf_strictly_below,p90_cdf_at_or_below,p90_previous_distinct_value,p90_next_distinct_value
1,8.443940608576927,27.89535840750725,3.303594814389452,0.49802485901820315,0.5036134160080308,8.425593382278802,8.462287834875056,0.8998957284995533,0.9031580727618345,27.588903762946604,27.913705633805375
2,8.442867218146985,27.587472575706677,3.267547843984865,0.4988861753529394,0.504382533798212,8.424162195038875,8.461572241255093,0.8997049323295266,0.9000903074042621,27.568767552598565,27.893569423457343
3,8.444261741713621,27.89589362940174,3.3035325624263203,0.4972204463514316,0.502799566101237,8.426021559794393,8.462501923632852,0.8997004732179243,0.9029603177386831,27.589331940462195,27.914133811320966
10,8.503724071848783,27.667034452516585,3.253519777776789,0.4941392784656515,0.5070631884783603,8.502538625754415,8.504909517943151,0.899651711777532,0.9000397945076598,27.524277312436865,27.66821989861095
11,8.631945052603085,27.795255433270885,3.2200454548640614,0.498299554359688,0.5002302525437994,8.49898228747131,8.670312873748486,0.8995069381242122,0.9021524022001047,27.508821383557514,27.83362325441628
12,8.426400456620378,27.58971083728818,3.2741988681076446,0.4871910392215736,0.5006099700812117,8.408254998907644,8.44454591433311,0.8999387353706373,0.9003267998817022,27.571565379575446,27.89636725043422
13,8.443343749451014,27.894363642297392,3.3037105286766377,0.49509492952906803,0.5006579119887797,8.424797570110915,8.461889928791113,0.8994891895324373,0.9018641709447953,27.588107950778713,27.91290982163749
14,8.443879163779384,27.895255999511345,3.3036067260614077,0.4977515378919551,0.5033233321811055,8.425511455882077,8.462246871676694,0.8998782944982343,0.9031378866898899,27.58882183654988,27.91362370740865
15,8.444008613447059,27.89547174895747,3.303581631185692,0.49828267881848587,0.5038233572292008,8.425684055438975,8.462333171455143,0.89990752242028,0.9031756595962497,27.588994436106777,27.913796306965548
