label,phi,lambda,rental_cap,birth_flow,first_birth_flow,mean_rooms,ownership,cumulative_explicit_births_per_initial_household,first_births_per_initial_household,first_birth_mean_age
arm_01_phi0.8_lambda0_cap6,0.8,0.0,6.0,0.1155903878306699,0.050649833856012405,6.639867627691228,0.5664112010865031,1.8724107636556737,0.8204600388423695,24.095245727448187
arm_02_phi0.8_lambda0_cap6,0.8,0.0,6.0,0.1155903878306699,0.050649833856012405,6.639867627691228,0.5664112010865031,1.8724107636556737,0.8204600388423695,24.095245727448187
arm_03_phi0.8_lambda0_cap6,0.8,0.0,6.0,0.1155903878306699,0.050649833856012405,6.639867627691228,0.5664112010865031,1.8724107636556737,0.8204600388423695,24.095245727448187
arm_04_phi0.8_lambda0_cap8,0.8,0.0,8.0,0.11677513084304185,0.051489244358404684,6.797092574316409,0.5347666840545084,1.8821253923077086,0.8224902308681166,24.0113053168197
arm_05_phi0.8_lambda0_cap10,0.8,0.0,10.0,0.1169571578145934,0.051618977888043205,6.875668673792612,0.5092924013090087,1.883434886344046,0.8226844299250075,23.99790311889151
arm_06_phi0.8_lambda0.25_cap6,0.8,0.25,6.0,0.11931246988867547,0.05368310322896619,6.718247677045896,0.5739385042728746,1.893143408061079,0.8251902371917039,23.783548498036062
arm_07_phi0.8_lambda0.25_cap8,0.8,0.25,8.0,0.12060986416261778,0.05461388571021836,6.895475690211401,0.5389252229799624,1.9031070618269974,0.8271714696723016,23.691413949444062
arm_08_phi0.8_lambda0.25_cap10,0.8,0.25,10.0,0.12079006485160013,0.05474391670913492,6.976075392658087,0.5135207071423257,1.9043573859668297,0.8273467368698919,23.677982561710238
arm_09_phi0.8_lambda1_cap6,0.8,1.0,6.0,0.12356015727032592,0.05738721939812541,6.775106881874383,0.5788802868019461,1.9270870111829963,0.8341696484637122,23.365203533557874
arm_10_phi0.8_lambda1_cap8,0.8,1.0,8.0,0.12499907264462792,0.05842772779360314,6.975161710135772,0.5396178966011032,1.9372452855014664,0.8360477333715596,23.26472590532799
arm_11_phi0.8_lambda1_cap10,0.8,1.0,10.0,0.12517969171623228,0.05855858064881572,7.058312797251084,0.5145229536949117,1.9384221696850015,0.836193453455494,23.251454589680527
arm_12_phi0.8_lambda5_cap6,0.8,5.0,6.0,0.12377387987346156,0.05758031473240796,6.777146211046253,0.5791362968754746,1.9289838301368873,0.8340848169585257,23.32571517816152
arm_13_phi0.8_lambda5_cap8,0.8,5.0,8.0,0.12522935618180728,0.058634725511050756,6.97879411613764,0.5396726086063219,1.9390826638247236,0.8359516747616795,23.22479528354987
arm_14_phi0.8_lambda5_cap10,0.8,5.0,10.0,0.12541681110888028,0.05877139587771529,7.063235867043206,0.5146207967190659,1.9402915197688406,0.836096892721776,23.21073290949385
arm_15_phi0.9_lambda0_cap6,0.9,0.0,6.0,0.11593433257621649,0.05084559897416019,6.701284576042366,0.6011839886526302,1.876156409352987,0.8210425107528498,24.077842666690014
arm_16_phi0.9_lambda0_cap8,0.9,0.0,8.0,0.11687605042795308,0.05153340201898232,6.82907519179694,0.5608441511304727,1.8829993343406837,0.822560436460956,24.007690466215763
arm_17_phi0.9_lambda0_cap10,0.9,0.0,10.0,0.11701893938104135,0.05163450674182185,6.90380036678455,0.5340904785748908,1.883928594877033,0.8227044261229558,23.996969912979562
arm_18_phi0.9_lambda0.25_cap6,0.9,0.25,6.0,0.11961434011418882,0.05385920014263246,6.777127771241689,0.6103451323645448,1.8963476198961358,0.8256206165206088,23.767734178171807
arm_19_phi0.9_lambda0.25_cap8,0.9,0.25,8.0,0.12068614514866138,0.05464923112335712,6.923902111805306,0.5645646508384515,1.9038555505854657,0.8271896975983327,23.687606498927174
arm_20_phi0.9_lambda0.25_cap10,0.9,0.25,10.0,0.12083189664398529,0.05475251050386998,7.001331083549093,0.5377154553114077,1.9047279792882215,0.827317928004117,23.6773411663266
arm_21_phi0.9_lambda1_cap6,0.9,1.0,6.0,0.12384023598111829,0.05754503585969725,6.835402652536465,0.6167847621643452,1.9300801653989477,0.8345494042928279,23.352370876373467
arm_22_phi0.9_lambda1_cap8,0.9,1.0,8.0,0.1250480627324424,0.05844465481050154,7.002786391456538,0.5651449105834785,1.9379130926407768,0.8360860528367479,23.263119191069396
arm_23_phi0.9_lambda1_cap10,0.9,1.0,10.0,0.1252015269761955,0.0585537132026176,7.082893935484912,0.538277769920581,1.9387608616508492,0.8361943381047197,23.25236456003046
arm_24_phi0.9_lambda5_cap6,0.9,5.0,6.0,0.12405074617794734,0.057735076769808436,6.837477453770042,0.6171345425584079,1.93187216458042,0.8344522534549956,23.314341868493113
arm_25_phi0.9_lambda5_cap8,0.9,5.0,8.0,0.12527630108212434,0.05865008314744774,7.006383722372355,0.5651948125043488,1.939728197395669,0.8359861710076866,23.223345695184438
arm_26_phi0.9_lambda5_cap10,0.9,5.0,10.0,0.12543657822269952,0.05876487693937979,7.0877744807409675,0.5383340239224675,1.9406131581865853,0.8360949924743033,23.211857840211163
arm_27_phi0.95_lambda0_cap6,0.95,0.0,6.0,0.11608372335944177,0.050957919814901,6.723719037715167,0.6186200902389907,1.8768719750610683,0.8210461650727676,24.06376842488568
arm_28_phi0.95_lambda0_cap8,0.95,0.0,8.0,0.11690459812434299,0.05155261708197467,6.836461198612968,0.5716501902283576,1.8830112969705313,0.8224377495160254,24.003208002016503
arm_29_phi0.95_lambda0_cap10,0.95,0.0,10.0,0.11702874366722,0.05163936707169592,6.908077122968895,0.5441522351890354,1.8837821340495875,0.822569181891345,23.994946483677673
arm_30_phi0.95_lambda0.25_cap6,0.95,0.25,6.0,0.11976893586643213,0.053975717523468525,6.8030654824377415,0.6312984214640762,1.8971073366172024,0.8256311532851119,23.75468102655834
arm_31_phi0.95_lambda0.25_cap8,0.95,0.25,8.0,0.12070726669716837,0.05466381659224251,6.931277206188911,0.5763074746526653,1.9038731281633317,0.8270780908386034,23.68402519863456
arm_32_phi0.95_lambda0.25_cap10,0.95,0.25,10.0,0.12084096775676435,0.05475827909801906,7.005437704361661,0.5484608526448382,1.9046217016701497,0.8271963178421333,23.67520848293327
