design,specification,outcome,weighting,estimand,b,se,p,ci_low,ci_high,N,first_stage_F
same_sex,age_fe_race,rooms_mean_post5,weighted,first_stage,.0481195365220864,.022832021,.035165261,.003348869,.092890203,2684,4.441751
same_sex,age_quadratic_race,rooms_mean_post5,weighted,iv_2sls,-1.793133061478913,1.8546879,.33363843,-5.4282546,1.8419884,2684,4.2888227
same_sex,age_fe_race,rooms_mean_post5,weighted,iv_2sls,-1.89476129592152,1.8230233,.29864147,-5.4678211,1.6782987,2684,4.441751
same_sex,age_fe_race,rooms_mean_post5,weighted,ols,.2261701210671015,.081145138,.0053544962,.067054898,.38528535,2684,4.441751
same_sex,age_quadratic_race,rooms_mean_post5,weighted,ols,.2494258916273752,.081578277,.0022542609,.089462072,.4093897,2684,4.2888227
same_sex,age_fe_race,rooms_mean_post5,weighted,reduced_form,-.0911750353792756,.075054511,.22455813,-.23834732,.055997249,2684,4.441751
same_sex,age_quadratic_race,rooms_mean_post5,weighted,reduced_form,-.0846629704707592,.075492106,.26218513,-.23269264,.063366704,2684,4.2888227
twins,age_fe_race,moved_for_size_post5,unweighted,first_stage,.4089160401517336,.02309829,0,.36362717,.45420492,3282,313.40695
twins,age_quadratic_race,moved_for_size_post5,unweighted,first_stage,.4136385800791876,.022232348,0,.37004769,.45722947,3282,346.15564
twins,age_quadratic_race,moved_for_size_post5,unweighted,iv_2sls,.0402443767419675,.15786368,.79877621,-.26916274,.34965149,3282,346.15564
twins,age_fe_race,moved_for_size_post5,unweighted,iv_2sls,.0247327536195329,.15835647,.87588793,-.28564024,.33510575,3282,313.40695
twins,age_quadratic_race,moved_for_size_post5,unweighted,ols,.0358945064115584,.016011348,.025040627,.0045011165,.0672879,3282,346.15564
twins,age_fe_race,moved_for_size_post5,unweighted,ols,.0384103777112749,.016115857,.017211743,.0068119802,.070008777,3282,313.40695
twins,age_fe_race,moved_for_size_post5,unweighted,reduced_form,.0101136196721427,.065380827,.8770771,-.11807872,.13830596,3282,313.40695
twins,age_quadratic_race,moved_for_size_post5,unweighted,reduced_form,.0166466268517425,.065577596,.79963046,-.11193112,.14522436,3282,346.15564
twins,age_quadratic_race,moved_for_size_post5,weighted,first_stage,.3786343881274073,.029901011,6.6318903e-36,.32000759,.43726119,3282,160.34979
twins,age_fe_race,moved_for_size_post5,weighted,first_stage,.3711202185062428,.030787887,9.2913851e-33,.31075433,.4314861,3282,145.30128
twins,age_quadratic_race,moved_for_size_post5,weighted,iv_2sls,.1399925452745537,.22278173,.52975225,-.29665163,.57663673,3282,160.34979
twins,age_fe_race,moved_for_size_post5,weighted,iv_2sls,.1243696685786819,.21955116,.5710727,-.30594271,.55468202,3282,145.30128
twins,age_quadratic_race,moved_for_size_post5,weighted,ols,.0370250762390449,.020409517,.069753461,-.0029917858,.077041939,3282,160.34979
twins,age_fe_race,moved_for_size_post5,weighted,ols,.0364560945586127,.020476827,.075111747,-.0036928698,.076605059,3282,145.30128
twins,age_fe_race,moved_for_size_post5,weighted,reduced_form,.0461560985784673,.081751481,.57239181,-.11413422,.20644642,3282,145.30128
twins,age_quadratic_race,moved_for_size_post5,weighted,reduced_form,.0530059917224029,.083824657,.52720696,-.1113487,.21736068,3282,160.34979
twins,age_quadratic_race,moved_to_own_post5,unweighted,first_stage,.4244984642453427,.02456945,0,.37632331,.47267359,2971,298.51169
twins,age_fe_race,moved_to_own_post5,unweighted,first_stage,.4225982155710793,.025197392,0,.37319162,.4720048,2971,281.28342
twins,age_quadratic_race,moved_to_own_post5,unweighted,iv_2sls,-.0756667273600336,.056860685,.18327492,-.18711162,.035778165,2971,298.51169
twins,age_fe_race,moved_to_own_post5,unweighted,iv_2sls,-.0724620816803438,.057513654,.2077015,-.18518677,.04026261,2971,281.28342
twins,age_fe_race,moved_to_own_post5,unweighted,ols,.0055286072244486,.0084172254,.51134837,-.010975733,.022032948,2971,281.28342
twins,age_quadratic_race,moved_to_own_post5,unweighted,ols,.0043057072382079,.0082959011,.60378861,-.01196068,.020572094,2971,298.51169
twins,age_quadratic_race,moved_to_own_post5,unweighted,reduced_form,-.0321204095588205,.02438548,.18787657,-.079934821,.015694004,2971,298.51169
twins,age_fe_race,moved_to_own_post5,unweighted,reduced_form,-.0306223464146795,.024647625,.21418731,-.078950949,.01770626,2971,281.28342
twins,age_fe_race,moved_to_own_post5,weighted,first_stage,.3745839780917519,.033589832,2.6188174e-28,.30872166,.44044629,2971,124.36057
twins,age_quadratic_race,moved_to_own_post5,weighted,first_stage,.3794553570893399,.032355227,4.4946150e-31,.31601408,.44289663,2971,137.54109
twins,age_quadratic_race,moved_to_own_post5,weighted,iv_2sls,-.0973508793766383,.086046755,.2578986,-.26599941,.07129766,2971,137.54109
twins,age_fe_race,moved_to_own_post5,weighted,iv_2sls,-.0944180761804461,.088746265,.28736928,-.26835755,.079521403,2971,124.36057
twins,age_quadratic_race,moved_to_own_post5,weighted,ols,.0074427210270234,.011408168,.51419252,-.014926117,.029811559,2971,137.54109
twins,age_fe_race,moved_to_own_post5,weighted,ols,.0078885580361613,.011584862,.49596584,-.014826825,.030603942,2971,124.36057
twins,age_quadratic_race,moved_to_own_post5,weighted,reduced_form,-.0369403126968394,.032598153,.25722191,-.10085793,.026977301,2971,137.54109
twins,age_fe_race,moved_to_own_post5,weighted,reduced_form,-.0353674985794422,.033222716,.28716466,-.10050999,.02977499,2971,124.36057
twins,age_quadratic_race,own_mean_post5,unweighted,first_stage,.3984940173945565,.020915484,0,.35748595,.43950209,3475,363.00095
twins,age_fe_race,own_mean_post5,unweighted,first_stage,.3942030554146447,.021633621,0,.35178685,.43661925,3475,332.0332
twins,age_quadratic_race,own_mean_post5,unweighted,iv_2sls,.2619510595602397,.14117169,.063517794,-.014740366,.53864247,3475,363.00095
twins,age_fe_race,own_mean_post5,unweighted,iv_2sls,.2550971594535633,.14354153,.075540908,-.026239082,.5364334,3475,332.0332
twins,age_quadratic_race,own_mean_post5,unweighted,ols,.041931664144693,.014426793,.0036782203,.013645694,.070217632,3475,363.00095
twins,age_fe_race,own_mean_post5,unweighted,ols,.0362929673221158,.014503032,.01238058,.0078574382,.064728498,3475,332.0332
twins,age_fe_race,own_mean_post5,unweighted,reduced_form,.1005600796841894,.056953672,.077544712,-.011106764,.21222693,3475,332.0332
twins,age_quadratic_race,own_mean_post5,unweighted,reduced_form,.1043859300848698,.056265231,.063646585,-.0059308033,.21470267,3475,363.00095
twins,age_quadratic_race,own_mean_post5,weighted,first_stage,.3646339262219302,.027909821,4.1867511e-38,.30991238,.41935548,3475,170.68683
twins,age_fe_race,own_mean_post5,weighted,first_stage,.3548918115274395,.028560365,1.0557587e-34,.29889461,.410889,3475,154.40611
twins,age_fe_race,own_mean_post5,weighted,iv_2sls,.3295958021116021,.17892841,.065467238,-.021097433,.68028903,3475,154.40611
twins,age_quadratic_race,own_mean_post5,weighted,iv_2sls,.3916787925216988,.17816685,.0279219,.042478178,.74087942,3475,170.68683
twins,age_quadratic_race,own_mean_post5,weighted,ols,.0824342725701595,.018186856,6.0241996e-06,.046776116,.11809243,3475,170.68683
twins,age_fe_race,own_mean_post5,weighted,ols,.0743474287085616,.01813093,.00004217384,.038798824,.10989603,3475,154.40611
twins,age_quadratic_race,own_mean_post5,weighted,reduced_form,.1428193759349884,.064961299,.027977875,.015452645,.2701861,3475,170.68683
twins,age_fe_race,own_mean_post5,weighted,reduced_form,.1169708512832225,.063329503,.064830959,-.0071968292,.24113853,3475,154.40611
twins,age_quadratic_race,rooms_mean_post5,unweighted,first_stage,.4015465929607622,.020899709,0,.36056966,.44252354,3521,369.14023
twins,age_fe_race,rooms_mean_post5,unweighted,first_stage,.3976417246049085,.021614449,0,.35526332,.44002011,3521,338.45084
twins,age_quadratic_race,rooms_mean_post5,unweighted,iv_2sls,.6662694000124819,.52116555,.20110074,-.3551963,1.6877351,3521,369.14023
twins,age_fe_race,rooms_mean_post5,unweighted,iv_2sls,.6314238311997251,.51693356,.22190444,-.38174728,1.6445949,3521,338.45084
twins,age_quadratic_race,rooms_mean_post5,unweighted,ols,.4291640177716257,.051538195,1.1766407e-16,.32811585,.53021216,3521,369.14023
twins,age_fe_race,rooms_mean_post5,unweighted,ols,.4015569368932017,.051276073,6.3775520e-15,.30102241,.50209147,3521,338.45084
twins,age_quadratic_race,rooms_mean_post5,unweighted,reduced_form,.2675382075691147,.20976003,.20223556,-.14372702,.67880344,3521,369.14023
twins,age_fe_race,rooms_mean_post5,unweighted,reduced_form,.2510804611948893,.20726563,.22582716,-.15529524,.65745616,3521,338.45084
twins,age_quadratic_race,rooms_mean_post5,weighted,first_stage,.3664086342095507,.027703004,0,.31209284,.42072442,3521,174.93538
twins,age_fe_race,rooms_mean_post5,weighted,first_stage,.3573950536378913,.028578764,3.9713864e-35,.30136207,.41342807,3521,156.39044
twins,age_fe_race,rooms_mean_post5,weighted,iv_2sls,.7760595947798917,.82802451,.34863392,-.84683859,2.3989577,3521,156.39044
twins,age_quadratic_race,rooms_mean_post5,weighted,iv_2sls,.8600406385033552,.86190522,.31835854,-.8292625,2.5493438,3521,174.93538
twins,age_quadratic_race,rooms_mean_post5,weighted,ols,.6064500149441202,.069763757,5.3514574e-18,.46966797,.74323207,3521,174.93538
twins,age_fe_race,rooms_mean_post5,weighted,ols,.5686608782239829,.069440223,3.6617968e-16,.43251279,.70480895,3521,156.39044
twins,age_quadratic_race,rooms_mean_post5,weighted,reduced_form,.315126315718711,.31472689,.31676635,-.30194178,.93219441,3521,174.93538
twins,age_fe_race,rooms_mean_post5,weighted,reduced_form,.2773598605025648,.29839396,.3526904,-.30768675,.86240649,3521,156.39044
