index,case_id,analysis_index,profile,projections,ridge_strength,fraction,local_base_score,linear_predicted_score,beta_annual,kappa_fert,kappa_fert_continuation,chi,H0,theta0,theta1,first_birth_fixed_cost,h_P
0,joint_00_analysis_01,1,equal_relative_5pct,uniform_birth_time,0.1,0.5,256.54790670177096,138.7249727881878,0.9952209126160599,1.6885748608006017,1.3790775191734086,1.0678839950121868,7.059269165112304,0.44418894112730545,0.11491494297451163,3.6781815672731324,0.9204536312929574
1,joint_01_analysis_02,2,equal_relative_5pct,uniform_birth_time,0.1,1.0,256.54790670177096,66.1319207219624,0.9951645916815152,1.3150634238661971,1.074026651848424,1.0822311732504923,5.908026358920951,0.34593469518160364,0.1273133547620036,2.928529500405204,1.1818858574626845
2,joint_02_analysis_04,4,equal_relative_5pct,uniform_birth_time,1.0,0.5,256.54790670177096,163.74737411122237,0.9953218417836417,1.9652340584177022,1.601835044143733,1.063502586152088,7.211921453369986,0.45707026767015313,0.10497860023467566,4.33065498312363,0.8880453056754104
3,joint_03_analysis_05,5,equal_relative_5pct,uniform_birth_time,1.0,1.0,256.54790670177096,100.19352405235908,0.9953666717387103,1.781289977530831,1.4490163370915787,1.0733688437354463,6.1663037952266055,0.36628959375765024,0.10624842617833354,4.0596673321820065,1.10012478930874
4,joint_04_analysis_10,10,equal_relative_5pct,constant_post_cell,0.1,0.5,259.8488305260843,141.93605549467836,0.9951104769537692,1.6885748608006017,1.3790775191734044,1.0683750930645286,7.0296374886452275,0.44418894112730545,0.11486471538062105,3.6298040224557004,0.9204536312929574
5,joint_05_analysis_11,11,equal_relative_5pct,constant_post_cell,0.1,1.0,259.8488305260843,69.35355148913682,0.9949385485791873,1.3150634238661971,1.0740266518484178,1.0832267941842728,5.858531914224125,0.34593469518160364,0.12720208557780383,2.85200072177946,1.1818858574626845
6,joint_06_analysis_13,13,equal_relative_5pct,constant_post_cell,1.0,0.5,259.8488305260843,167.60144665653888,0.9952895455644405,1.9789616390049722,1.6024860768026412,1.063647579446983,7.20631021430662,0.4575481081401139,0.10498179808997932,4.300521327486604,0.8886744138343807
7,joint_07_analysis_14,14,equal_relative_5pct,constant_post_cell,1.0,1.0,259.8488305260843,104.32773920972373,0.9953024765136501,1.8062622760089606,1.45019442177156,1.07366154052126,6.156712136624345,0.36705586316880773,0.10625489935033974,4.003367761260994,1.1016840399999248
8,joint_08_analysis_19,19,equal_relative_5pct,uniform_birth_time+constant_post_cell,0.1,0.5,258.19836861392764,140.3706023814796,0.9951658102665542,1.6885748608006017,1.3790775191734908,1.0681308253509394,7.044266900269933,0.44418894112730545,0.11488951580826193,3.6543385828551034,0.9204536312929574
9,joint_09_analysis_20,20,equal_relative_5pct,uniform_birth_time+constant_post_cell,0.1,1.0,258.19836861392764,67.79739448410916,0.9950524502530792,1.3150634238661971,1.0740266518485524,1.0827315241504547,5.882941724123531,0.34593469518160364,0.12725701988326887,2.8906854897573093,1.1818858574626845
10,joint_10_analysis_22,22,equal_relative_5pct,uniform_birth_time+constant_post_cell,1.0,0.5,258.19836861392764,165.7061487184083,0.995305772243352,1.9722193657107427,1.6020866402043967,1.0635746344349357,7.209160237913453,0.45730940240514395,0.10498019333868969,4.3155347281997445,0.8883568807662859
11,joint_11_analysis_23,23,equal_relative_5pct,uniform_birth_time+constant_post_cell,1.0,1.0,258.19836861392764,102.31259306482525,0.9953347853769523,1.7939754604796974,1.4494715592873497,1.073514282030786,6.16158293574204,0.3666729723535511,0.10625165095134799,4.0313685888806425,1.1008968931880074
12,joint_12_analysis_28,28,reference_precision_diagnostic,uniform_birth_time,0.1,0.5,235.90906619186768,91.47144761317564,0.9954545034260822,1.8057434146313212,1.625421448176251,1.074969104208872,7.477843237949768,0.44418894112730545,0.1195512417595977,4.474507779104549,0.9204536312929574
13,joint_13_analysis_29,29,reference_precision_diagnostic,uniform_birth_time,0.1,1.0,235.90906619186768,29.448594432014676,0.9956257403379165,1.5038971615546919,1.4920029193951159,1.0966394098652776,6.629421833414985,0.34593469518160364,0.13779362745928042,4.33384935211846,1.1818858574626845
14,joint_14_analysis_31,31,reference_precision_diagnostic,uniform_birth_time,1.0,0.5,235.90906619186768,102.48795378946149,0.9953432080517959,1.9796572806052422,1.7598484983526372,1.073332817649414,7.549164625784027,0.4525959301158294,0.10541289568695068,4.904498030214562,0.7807550278628234
15,joint_15_analysis_32,32,reference_precision_diagnostic,uniform_birth_time,1.0,1.0,235.90906619186768,41.618385181257715,0.9954088992952658,1.8075323683633295,1.748993777786815,1.0933034058520188,6.756483702720712,0.35915335388024916,0.10712934200689567,5.206818087298117,0.8503569868491775
16,joint_16_analysis_37,37,reference_precision_diagnostic,constant_post_cell,0.1,0.5,248.78299622191412,109.5513515566516,0.99496478702401,1.7778136991989921,1.6066069512351577,1.0758378806627833,7.464725952007817,0.44418894112730545,0.119707418775083,4.337547442079559,0.9204536312929574
17,joint_17_analysis_38,38,reference_precision_diagnostic,constant_post_cell,0.1,1.0,248.78299622191412,49.20691091437494,0.9946324691630198,1.4577349186833868,1.45766250911944,1.0984127063962843,6.6061841836182245,0.34593469518160364,0.1381538789086189,4.072599951954023,1.1818858574626845
18,joint_18_analysis_40,40,reference_precision_diagnostic,constant_post_cell,1.0,0.5,248.78299622191412,121.25008092949598,0.995215704771993,1.9853153195316016,1.7629080024215653,1.073574554933627,7.544425903124967,0.45338102399628466,0.10542268668112768,4.851919968367931,0.7828646698380896
19,joint_19_analysis_41,41,reference_precision_diagnostic,constant_post_cell,1.0,1.0,248.78299622191412,62.710327754773985,0.9951540478169578,1.8178793143438512,1.7550803301228137,1.0937959314767003,6.748004074788588,0.3604004426843405,0.10714924377449635,5.095778395528616,0.8549586157910507
20,joint_20_analysis_46,46,reference_precision_diagnostic,uniform_birth_time+constant_post_cell,0.1,0.5,242.3460312068909,100.80628137239295,0.9952169840872769,1.7919137651803343,1.6159244631745873,1.075401137110646,7.471313016080421,0.44418894112730545,0.11962847107523625,4.406445763542148,0.9204536312929574
21,joint_21_analysis_47,47,reference_precision_diagnostic,uniform_birth_time+constant_post_cell,0.1,1.0,242.3460312068909,39.778634752264715,0.9951566389955754,1.4809495753883781,1.474618954614371,1.097521071509628,6.617848257638482,0.34593469518160364,0.1379717125151591,4.203007199622456,1.1818858574626845
22,joint_22_analysis_49,49,reference_precision_diagnostic,uniform_birth_time+constant_post_cell,1.0,0.5,242.3460312068909,112.01060409775134,0.9952801214689267,1.982553001462146,1.7612365332383182,1.0734529242777688,7.54680775708967,0.45298751022038375,0.10541774692281462,4.878496896336788,0.7818022720418784
23,joint_23_analysis_50,50,reference_precision_diagnostic,uniform_birth_time+constant_post_cell,1.0,1.0,242.3460312068909,52.39446029002622,0.9952836611830043,1.8128241300195855,1.7517538128231893,1.0935481022419733,6.752265577952602,0.3597750923329617,0.10713920269161524,5.151756669291239,0.8526397224516106
